MB 478 (16x16) -> Y = 50 | CbCr = 179
MB 479 (16x16) -> Y = 61 | CbCr = 215
MB 480 (4x4) -> Y = 20 | CbCr = 250
MB 481 (4x4) -> Y = 162 | CbCr = 1000
MB 482 (16x16) -> Y = 36 | CbCr = 130
MB 483 (16x16) -> Y = 29 | CbCr = 100
MB 484 (16x16) -> Y = 30 | CbCr = 130
MB 485 (16x16) -> Y = 44 | CbCr = 54
MB 486 (16x16) -> Y = 35 | CbCr = 39
MB 487 (16x16) -> Y = 33 | CbCr = 112
MB 488 (4x4) -> Y = 54 | CbCr = 162
MB 489 (4x4) -> Y = 39 | CbCr = 340
MB 490 (16x16) -> Y = 80 | CbCr = 289
MB 491 (16x16) -> Y = 63 | CbCr = 81
MB 492 (16x16) -> Y = 70 | CbCr = 65
MB 493 (4x4) -> Y = 57 | CbCr = 75
MB 494 (4x4) -> Y = 81 | CbCr = 546
MB 495 (16x16) -> Y = 55 | CbCr = 144
MB 496 (16x16) -> Y = 50 | CbCr = 76
MB 497 (4x4) -> Y = 58 | CbCr = 54
MB 498 (16x16) -> Y = 55 | CbCr = 43
MB 499 (4x4) -> Y = 61 | CbCr = 29
MB 500 (16x16) -> Y = 48 | CbCr = 38
MB 501 (16x16) -> Y = 49 | CbCr = 57
MB 502 (4x4) -> Y = 61 | CbCr = 39
MB 503 (16x16) -> Y = 56 | CbCr = 63
MB 504 (16x16) -> Y = 76 | CbCr = 59
MB 505 (16x16) -> Y = 55 | CbCr = 127
MB 506 (16x16) -> Y = 66 | CbCr = 72
MB 507 (4x4) -> Y = 72 | CbCr = 69
MB 508 (4x4) -> Y = 65 | CbCr = 34
MB 509 (16x16) -> Y = 42 | CbCr = 34
MB 510 (16x16) -> Y = 70 | CbCr = 75
MB 511 (16x16) -> Y = 63 | CbCr = 26
MB 512 (4x4) -> Y = 66 | CbCr = 51
MB 513 (4x4) -> Y = 67 | CbCr = 82
MB 514 (4x4) -> Y = 45 | CbCr = 96
MB 515 (16x16) -> Y = 44 | CbCr = 148
MB 516 (4x4) -> Y = 53 | CbCr = 175
MB 517 (4x4) -> Y = 13 | CbCr = 146
